keyword,score
today,0.03210006524530515
ve,0.018997160874243857
years,0.018902645002510182
world,0.0184101434463307
early,0.018153277488693536
year,0.016702037645500902
new,0.01655751056061084
customers,0.01655374690099772
series,0.016481413975911106
just,0.016257099308233547
founders,0.015787385659107527
ai,0.015643725732933086
led,0.015547281541337239
market,0.01528873167569117
company,0.014845196134481056
share,0.014417800324074949
people,0.013202278154582477
scale,0.013110645755748163
built,0.01280177566393792
models,0.012747677474069363
